1,Amazonas,-1.0197222,-71.9383333
2,Antioquia,7.0000000,-75.5000000
3,Arauca,7.0902778,-70.7616667
4,Atlántico,10.7500000,-75.0000000
5,Bolívar,9.0000000,-74.3333333
6,Boyacá,5.5000000,-72.5000000
7,Caldas,5.2500000,-75.5000000
8,Caquetá,1.0000000,-74.0000000
9,Casanare,5.5000000,-71.5000000
10,Cauca,2.5000000,-76.8333333
11,Cesar,9.3333333,-73.5000000
12,Chocó,6.0000000,-77.0000000
13,Córdoba,8.3333333,-75.6666667
14,Cundinamarca,5.0000000,-74.1666667
15,Guainía,2.5000000,-69.0000000
16,Guaviare,1.6894444,-72.8202778
17,Huila,2.5000000,-75.7500000
18,La Guajira,11.5000000,-72.5000000
19,Magdalena,10.0000000,-74.5000000
20,Meta,3.5000000,-73.0000000
21,Nariño,1.5000000,-78.0000000
22,Norte de Santander,8.0000000,-73.0000000
23,Putumayo,0.5000000,-76.0000000
24,Quindío,4.5000000,-75.6666667
25,Risaralda,5.0000000,-76.0000000
26,San Andrés,12.5847222,-81.7005556
27,Santander,7.0000000,-73.2500000
28,Sucre,9.0000000,-75.0000000
29,Tolima,3.7500000,-75.2500000
30,Valle del Cauca,3.7500000,-76.5000000
31,Vaupés,0.2500000,-70.7500000
32,Vichada,5.0000000,-69.5000000
